ano_competencia,mes_competencia,municipio,sigla_uf,valor_parcela
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Atalaia,AL,180.0
2023,9,Atalaia,AL,180.0
2023,9,Atalaia,AL,180.0
2023,9,Atalaia,AL,180.0
2023,9,Atalaia,AL,180.0
2023,9,Atalaia,AL,180.0
2023,9,Atalaia,AL,180.0
2023,9,Atalaia,AL,180.0
2023,9,Barra de Santo Antônio,AL,180.0
2023,9,Barra de Santo Antônio,AL,180.0
2023,9,Barra de Santo Antônio,AL,180.0
2023,9,Barra de São Miguel,AL,180.0
2023,9,Barra de São Miguel,AL,180.0
2023,9,Batalha,AL,180.0
2023,9,Batalha,AL,180.0
2023,9,Batalha,AL,180.0
2023,9,Batalha,AL,180.0
2023,9,Belo Monte,AL,180.0
2023,9,Boca da Mata,AL,180.0
2023,9,Boca da Mata,AL,180.0
2023,9,Branquinha,AL,180.0
2023,9,Cacimbinhas,AL,180.0
2023,9,Cajueiro,AL,180.0
2023,9,Cajueiro,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Alegre,AL,180.0
2023,9,Campo Grande,AL,180.0
2023,9,Canapi,AL,180.0
2023,9,Canapi,AL,180.0
2023,9,Capela,AL,180.0
2023,9,Capela,AL,180.0
2023,9,Carneiros,AL,180.0
2023,9,Carneiros,AL,180.0
2023,9,Carneiros,AL,180.0
2023,9,Chã Preta,AL,180.0
2023,9,Colônia Leopoldina,AL,180.0
2023,9,Colônia Leopoldina,AL,180.0
2023,9,Colônia Leopoldina,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Coruripe,AL,180.0
2023,9,Craíbas,AL,180.0
2023,9,Craíbas,AL,180.0
2023,9,Craíbas,AL,180.0
2023,9,Craíbas,AL,180.0
2023,9,Delmiro Gouveia,AL,180.0
2023,9,Dois Riachos,AL,180.0
2023,9,Dois Riachos,AL,180.0
2023,9,Estrela de Alagoas,AL,180.0
2023,9,Feira Grande,AL,180.0
2023,9,Feira Grande,AL,180.0
2023,9,Feira Grande,AL,180.0
2023,9,Flexeiras,AL,180.0
2023,9,Flexeiras,AL,180.0
2023,9,Girau do Ponciano,AL,180.0
2023,9,Girau do Ponciano,AL,180.0
2023,9,Girau do Ponciano,AL,180.0
2023,9,Ibateguara,AL,180.0
2023,9,Ibateguara,AL,180.0
2023,9,Ibateguara,AL,180.0
2023,9,Igaci,AL,180.0
2023,9,Igaci,AL,180.0
2023,9,Igaci,AL,180.0
2023,9,Igaci,AL,180.0
2023,9,Igaci,AL,180.0
2023,9,Igaci,AL,180.0
2023,9,Igreja Nova,AL,180.0
2023,9,Igreja Nova,AL,180.0
2023,9,Japaratinga,AL,180.0
2023,9,Japaratinga,AL,180.0
2023,9,Japaratinga,AL,180.0
2023,9,Jequiá da Praia,AL,180.0
2023,9,Jequiá da Praia,AL,180.0
2023,9,Jequiá da Praia,AL,180.0
2023,9,Jequiá da Praia,AL,180.0
2023,9,Jequiá da Praia,AL,180.0
2023,9,Jequiá da Praia,AL,180.0
2023,9,Jequiá da Praia,AL,180.0
2023,9,Jequiá da Praia,AL,180.0
2023,9,Jequiá da Praia,AL,180.0
2023,9,Joaquim Gomes,AL,180.0
2023,9,Joaquim Gomes,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Junqueiro,AL,180.0
2023,9,Lagoa da Canoa,AL,180.0
2023,9,Lagoa da Canoa,AL,180.0
2023,9,Lagoa da Canoa,AL,180.0
2023,9,Limoeiro de Anadia,AL,180.0
2023,9,Limoeiro de Anadia,AL,180.0
2023,9,Limoeiro de Anadia,AL,180.0
2023,9,Limoeiro de Anadia,AL,180.0
2023,9,Limoeiro de Anadia,AL,180.0
2023,9,Limoeiro de Anadia,AL,180.0
2023,9,Limoeiro de Anadia,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
2023,9,Maceió,AL,180.0
